Order Number,Order Charged Date,Order Charged Timestamp,Financial Status,Product Title,Product ID,Product Type,SKU ID,Device Model,Country of Buyer,Currency of Sale,State of Buyer,Postal Code of Buyer,Item Price,Taxes Collected,Charged Amount,Base Plan ID,Offer ID
GPA.3357-2387-7335-03028,2021-11-25,1637819374,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,beyond2q,US,USD,NV,89119,5.49,0.00,5.49,,
GPA.3352-3672-9946-61728,2021-11-25,1637866213,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,c2q,US,USD,MS,39759,5.49,0.38,5.87,,
GPA.3361-2274-7858-60476,2021-11-25,1637868650,Charged,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,premium,p3q,US,USD,OH,43402,2.49,0.16,2.65,,
GPA.3324-1268-8945-70667,2021-11-25,1637868665,Charged,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,unlockcharactermanager,p3q,US,USD,OH,43402,1.99,0.13,2.12,,
GPA.3359-3541-5651-25195,2021-11-25,1637875640,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,gta7litewifi,US,USD,GA,31401,5.49,0.00,5.49,,
GPA.3336-3470-0351-63798,2021-11-25,1637875691,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,gta7litewifi,US,USD,GA,31401,3.49,0.00,3.49,,
GPA.3336-8481-3723-72306,2021-11-25,1637884323,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,mido,GR,EUR,,,4.02,0.97,4.99,,
GPA.3313-1736-2474-32653,2021-11-25,1637884388,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,mido,GR,EUR,,,2.41,0.58,2.99,,
GPA.3366-4316-7787-39646,2021-11-26,1637927941,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,dreamlte,DE,EUR,,,2.51,0.48,2.99,,
GPA.3354-6967-2496-36240,2021-11-26,1637942845,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,r8q,US,USD,NC,27846,3.49,0.25,3.74,,
GPA.3300-6294-0772-10523,2021-11-26,1637957804,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,smith,US,USD,NY,12866,5.49,0.38,5.87,,
GPA.3330-6463-4409-70609,2021-11-26,1637960468,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,OnePlusN10TMO,US,USD,OK,73099,5.49,0.00,5.49,,
GPA.3337-9992-8665-24605,2021-11-26,1637967082,Charged,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,premium,tulip,BR,BRL,PR,84010-150,5.49,0.00,5.49,,
GPA.3392-9233-0036-14108,2021-11-26,1637968089,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a71,GB,GBP,,,3.49,0.70,4.19,,
GPA.3313-4686-6837-85419,2021-11-27,1637974464,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,ASUS_I003_1,PT,EUR,,,4.06,0.93,4.99,,
GPA.3371-4234-4432-55191,2021-11-27,1637979550,Charged,"Unlock DM tools, Dice tools and remove ads. (D20 Complete Reference)",com.vansteinengroentjes.apps.ddcompletereference,1,premium,r8q,CA,CAD,ON,L6T 2P6,3.69,0.48,4.17,,
GPA.3390-9360-4821-59781,2021-11-27,1637987790,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,beyond1q,US,USD,MO,64850,5.49,0.00,5.49,,
GPA.3332-2603-4023-57404,2021-11-27,1637991376,Charged,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,unlockcharactermanager,NX659J-EEA,US,USD,NH,03281,1.99,0.00,1.99,,
GPA.3342-1481-7803-17820,2021-11-27,1638029194,Charged,"Unlock DM tools, Dice tools and remove ads. (D20 Complete Reference)",com.vansteinengroentjes.apps.ddcompletereference,1,premium,q2q,US,USD,AK,99714,2.49,0.00,2.49,,
GPA.3322-1335-9344-35275,2021-11-27,1638029214,Charged,Unlock Character Manager (D20 Complete Reference),com.vansteinengroentjes.apps.ddcompletereference,1,unlockcharactermanager,q2q,US,USD,AK,99714,1.96,0.00,1.96,,
GPA.3391-2090-0551-95319,2021-11-27,1638031334,Charged,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,premium,a32x,CA,CAD,NS,B3S 2C5,2.39,0.36,2.75,,
GPA.3316-2034-9966-80432,2021-11-27,1638032830,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,foles,US,USD,WI,53121,5.49,0.30,5.79,,
GPA.3300-9537-9085-65368,2021-11-27,1638043199,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,starlte,GB,GBP,,,3.49,0.70,4.19,,
GPA.3389-7516-8890-59038,2021-11-27,1638051719,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,a51,US,USD,MN,55744,3.49,0.24,3.73,,
GPA.3310-3452-8393-30224,2021-11-27,1638051734,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,a51,US,USD,MN,55744,5.49,0.38,5.87,,
GPA.3339-8056-4628-00694,2021-11-27,1638055902,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,duo,US,USD,HI,96786,3.49,0.17,3.66,,
GPA.3319-0369-1593-10953,2021-11-28,1638058280,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,d2xq2,US,USD,MO,63051,5.49,0.00,5.49,,
GPA.3314-6859-4715-96354,2021-11-28,1638058290,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,d2xq2,US,USD,MO,63051,3.49,0.00,3.49,,
GPA.3374-8871-7120-38658,2021-11-28,1638058341,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,mdh50lm,US,USD,KY,42240,5.49,0.33,5.82,,
GPA.3356-6071-8935-05143,2021-11-28,1638059673,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,beyond1q,US,USD,NM,87144,5.49,0.39,5.88,,
GPA.3327-4791-6520-13772,2021-11-28,1638061003,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,greatqlteue,US,USD,FL,32327,5.49,0.00,5.49,,
GPA.3361-7389-5975-15851,2021-11-28,1638063658,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,OnePlusN200TMO,US,USD,FL,32962,3.49,0.00,3.49,,
GPA.3313-4686-6837-85419,2021-11-28,1638065552,Refund,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,ASUS_I003_1,PT,EUR,,,4.06,-0.93,-4.99,,
GPA.3375-8199-3756-98619,2021-11-28,1638092794,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,def,NL,EUR,,,2.47,0.52,2.99,,
GPA.3376-0192-9232-78628,2021-11-28,1638093452,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,def,NL,EUR,,,4.12,0.87,4.99,,
GPA.3370-2852-8849-12167,2021-11-28,1638100056,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,dreamqltesq,US,USD,TX,75733,3.49,0.22,3.71,,
GPA.3310-5677-6864-35918,2021-11-28,1638122243,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,r8q,US,USD,OR,97117,3.49,0.00,3.49,,
GPA.3345-6600-3772-05732,2021-11-28,1638136088,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,gracerlte,PL,PLN,,,10.56,2.43,12.99,,
GPA.3358-0822-2464-86515,2021-11-29,1638149903,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,joyeuse,MX,MXN,,64000,56.03,8.97,65.00,,
GPA.3381-8568-1678-81334,2021-11-29,1638157746,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,o1q,US,USD,OK,74429,5.49,0.00,5.49,,
GPA.3369-2929-5213-13230,2021-11-29,1638174434,Charged,Site Crawler,com.vansteinengroentjes.apps.sitecrawler,1,,mid1035_mq,US,USD,AZ,85711,3.49,0.31,3.80,,
GPA.3379-0285-0072-29253,2021-11-29,1638174597,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,beyond1q,US,USD,UT,84774,5.49,0.36,5.85,,
GPA.3307-4040-8130-25428,2021-11-29,1638190599,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,q2q,US,USD,MD,21740,5.49,0.33,5.82,,
GPA.3362-7358-1469-85653,2021-11-29,1638203425,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,IRM_sprout,NL,EUR,,,4.12,0.87,4.99,,
GPA.3313-1439-0179-88175,2021-11-29,1638203488,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,IRM_sprout,NL,EUR,,,2.47,0.52,2.99,,
GPA.3390-9330-1810-80705,2021-11-29,1638204368,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,alphalm,US,USD,DE,19904,5.49,0.00,5.49,,
GPA.3365-2907-9900-02081,2021-11-29,1638204390,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,alphalm,US,USD,DE,19904,3.49,0.00,3.49,,
GPA.3307-1025-7706-47950,2021-11-29,1638204880,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,gts7fewifi,US,USD,TX,78114,5.49,0.45,5.94,,
GPA.3302-3901-9841-02701,2021-11-29,1638217296,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,j5xnlte,GB,GBP,,,3.49,0.70,4.19,,
GPA.3381-7812-0815-17272,2021-11-29,1638224713,Charged,DM Tools (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,premium,kukui_cheets,IT,EUR,,,2.45,0.54,2.99,,
GPA.3350-9996-1022-97171,2021-11-30,1638284349,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,p3q,US,USD,AZ,85708,5.49,0.48,5.97,,
GPA.3395-9719-2821-91808,2021-11-30,1638294389,Charged,Pathfinder DM tools (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,premium,a20e,GB,GBP,,,1.41,0.28,1.69,,
GPA.3362-1065-4724-74483,2021-11-30,1638294420,Charged,Character Manager (Complete Reference for Pathfinder),com.vansteinengroentjes.apps.ddpf,1,unlockcharactermanager,a20e,GB,GBP,,,1.57,0.32,1.89,,
GPA.3343-3489-2344-09910,2021-11-30,1638295002,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,bonito,CA,CAD,AB,T2K 4B3,7.49,0.37,7.86,,
GPA.3316-1599-5968-25861,2021-11-30,1638300471,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,o1q,US,USD,CA,91723,5.49,0.00,5.49,,
GPA.3392-6472-9239-30264,2021-11-30,1638303169,Charged,Character Manager (Complete Reference for DnD 5),com.vansteinengroentjes.apps.ddfive,1,unlockcharactermanager,beyond2q,US,USD,KS,66542,5.49,0.42,5.91,,
